Category,Title,Author/Publisher,Language,Level,Edition,Shop/Seller,Price PHP,Product URL,Affiliate Eligibility,SubID,Shopee Affiliate Link
Korean Reprint,Talk to Me in Korean Workbook Levels 1-10,TTMIK,Korean,Beginner-Advanced,Reprint,infinity_oshop,190,https://shopee.ph/Talk-to-Me-in-Korean-Workbook-Level-1-to-10-REPRINTED-Regular-Size-Short-Bond-Paper--i.67850443.29720274936,Couldn't verify,KRR03,https://s.shopee.ph/1Ac9dNmY0
Korean Reprint,The Korean Verbs Guide Vol. 1,TTMIK,Korean,Beginner-Intermediate,Reprint,infinity_oshop,240,https://shopee.ph/The-Korean-Verbs-Guide-by-Talk-to-Me-in-Korean-Vol-1-REPRINTED-Short-Bond-Paper--i.67850443.26270412008,Couldn't verify,KRR04,https://s.shopee.ph/BU2LwN9D3
Korean Reprint,King Sejong Institute Korean 1 Workbook English Version,King Sejong Institute,Korean,Beginner,Reprint,infinity_oshop,420,https://shopee.ph/King-Sejong-Institute-Korean-1-Workbook-English-Version-Reprinted-Book-Learn-Korean-i.67850443.47760457137,Couldn't verify,KRR05,https://s.shopee.ph/LnSYFMVs6
Korean Reprint,My First 500 Korean Words,TTMIK,Korean,Beginner,Reprint,infinity_oshop,540,https://shopee.ph/My-First-500-Korean-Words-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.28920411063,Couldn't verify,KRR06,https://s.shopee.ph/W6skYLsX9
Korean Reprint,My Daily Routine in Korean,TTMIK,Korean,Beginner,Reprint,infinity_oshop,189,https://shopee.ph/My-Daily-Routine-in-Korean-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.24389354320,Couldn't verify,KRR07,https://s.shopee.ph/20vgXJGAUS
Korean Reprint,Easy Korean Reading for Beginners,TTMIK,Korean,Beginner,Reprint,infinity_oshop,171,https://shopee.ph/Easy-Korean-Reading-For-Beginners-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.28220388018,Couldn't verify,KRR08,https://s.shopee.ph/2BF6jcFX9V
Korean Reprint,The Korean Verbs Guide Vol. 2,TTMIK,Korean,Intermediate,Reprint,infinity_oshop,230,https://shopee.ph/The-Korean-Verbs-Guide-by-Talk-to-Me-in-Korean-Vol-2-REPRINTED-Short-Bond-Paper--i.67850443.29520414415,Couldn't verify,KRR09,https://s.shopee.ph/2LYWvvEtoY
Korean Reprint,Korean Q&A Sentence Patterns,TTMIK,Korean,Intermediate,Reprint,infinity_oshop,320,https://shopee.ph/Korean-QA-Sentence-Patterns-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.28020414609,Couldn't verify,KRR10,https://s.shopee.ph/2Vrx8EEGTb
Korean Reprint,Korean Made Simple Vol. 1,Billy Go,Korean,Beginner,Reprint,infinity_oshop,540,https://shopee.ph/Korean-Made-Simple-A-beginner%E2%80%99s-guide-to-the-Korean-Language-Volume-1-REPRINTED-Short-Bond-Paper--i.67850443.27820377830,Couldn't verify,KRR11,https://s.shopee.ph/1Lfzk5IhqO
Korean Reprint,Korean Made Simple Vol. 2,Billy Go,Korean,Intermediate,Reprint,infinity_oshop,490,https://shopee.ph/Korean-Made-Simple-2-The-next-step-in-learning-the-Korean-Language-REPRINTED-Short-Bond-Paper--i.67850443.29720385513,Couldn't verify,KRR12,https://s.shopee.ph/1VzPwOI4VR
Korean Reprint,Common Mistakes Korean Learners Make,TTMIK and Billy Go,Korean,Intermediate,Reprint,infinity_oshop,295,https://shopee.ph/Common-Mistakes-Korean-Learners-Make-by-TTMIK-and-Billy-Go-REPRINTED-Short-Bond-Paper--i.67850443.28220387852,Couldn't verify,KRR13,https://s.shopee.ph/1gIq8hHRAU
Korean Reprint,Korean Phrasebook for Travelers,TTMIK,Korean,Beginner,Reprint,infinity_oshop,310,https://shopee.ph/Korean-Phrasebook-for-Travelers-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.29120397695,Couldn't verify,KRR14,https://s.shopee.ph/1qcGL0GnpX
Korean Reprint,Survival Korean,TTMIK,Korean,Beginner,Reprint,infinity_oshop,290,https://shopee.ph/Survival-in-Korean-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.27870425380,Couldn't verify,KRR15,https://s.shopee.ph/8fSaTYqmxs
Korean Reprint,Everyday Korean Idiomatic Expressions,TTMIK,Korean,Intermediate,Reprint,infinity_oshop,330,https://shopee.ph/Everyday-Korean-Idiomatic-Expressions-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.24389356262,Couldn't verify,KRR16,https://s.shopee.ph/8pm0frq9cv
Korean Reprint,Korean Made Simple Vol. 3,Billy Go,Korean,Intermediate-Advanced,Reprint,infinity_oshop,660,https://shopee.ph/Korean-Made-Simple-3-Continuing-your-journey-of-learning-the-Korean-Language-REPRINTED--i.67850443.29620386325,Couldn't verify,KRR17,https://s.shopee.ph/905QsApWHy
Korean Reprint,Aesop's Fables,TTMIK,Korean,Intermediate,Reprint,infinity_oshop,270,https://shopee.ph/Aesop's-Fables-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.25439302741,Couldn't verify,KRR18,https://s.shopee.ph/9AOr4Tosx1
Korean Reprint,Sejong Korean Student Book / Workbook / Extension Activity Workbook,King Sejong Institute,Korean,Multiple levels,Reprint,Nihongoph,290-465,https://shopee.ph/SEJONG-KOREAN-STUDENT-BOOK-WORKBOOK-AND-EXTENSION-ACTIVITY-WORKBOOK-%28REPRINT%29-i.511170139.27174998964,Couldn't verify,KRR19,https://s.shopee.ph/80CtgKtKJo
Korean Reprint,TOPIK I & II Mock Test with Answer Key + Audio,Not shown,Korean,TOPIK I Beginner / TOPIK II Advanced,Reprint,Nihongoph,130,https://shopee.ph/TOPIK-I-II-Mock-Test-w-Answer-Key-Audio-Reprint-i.511170139.26323269229,Couldn't verify,KRR20,https://s.shopee.ph/8AWJsdsgyr
Korean Official,"Sejong Korean Textbook (Revised Version), Korean/English",King Sejong Institute,Korean,Multiple levels,Official,declenkriz.ph,1010,https://shopee.ph/Sejong-Korean-Textbook-(revised-version)-Korean-English-i.765094109.23850098127,Couldn't verify,KRO01,https://s.shopee.ph/8Kpk4ws3du
Korean Official,Sejong Korean Vocabulary and Grammar,King Sejong Institute,Korean,Multiple levels,Official,declenkriz.ph,388,https://shopee.ph/Sejong-Korean-Vocabulary-and-Grammar-i.765094109.22317105939,Couldn't verify,KRO02,https://s.shopee.ph/8V9AHFrQIx
Korean Official,Sejong Korean Workbook (Revised Version) / Teacher's Guide,King Sejong Institute,Korean,Multiple levels,Official,declenkriz.ph,883,https://shopee.ph/Sejong-Korean-WorkBook(revised-version)-Teacher's-Guide-i.765094109.18670746505,Couldn't verify,KRO03,https://s.shopee.ph/9zxy40liGG
Korean Official,Talk To Me In Korean Textbook Levels 1-10,TTMIK,Korean,Beginner-Advanced,Official,declenkriz.ph,865,https://shopee.ph/Talk-To-Me-In-Korean-Textbook-level-1-10-TTMIK-i.765094109.18935475930,Couldn't verify,KRO04,https://s.shopee.ph/AAHOGJl4vJ
Korean Official,Talk To Me In Korean Workbook Levels 1-9,TTMIK,Korean,Beginner-Advanced,Official,declenkriz.ph,780,https://shopee.ph/TTMIK.-Talk-To-Me-In-Korean-Workbook-level-1-9-i.765094109.29152543811,Couldn't verify,KRO05,https://s.shopee.ph/AKaoSckRaM
Korean Official,Korean Grammar in Use: Beginning,Not shown,Korean,Beginner,Official,declenkriz.ph,1473,https://shopee.ph/Korean-Language-Korean-Grammar-in-Use-Beginning-i.765094109.18131204546,Couldn't verify,KRO06,https://s.shopee.ph/AUuEevjoFP
Korean Official,Basic Korean for Vocabulary with MP3,Not shown,Korean,Beginner,Official,declenkriz.ph,1270,https://shopee.ph/Korean-language-BASIC-KOREAN-FOR-VOCABULARY-with-MP3-Free-Download-%EB%A0%88%EC%A0%84%EB%93%9C-%ED%95%9C%EA%B5%AD%EC%96%B4-%ED%95%84%EC%88%98%EB%8B%A8%EC%96%B4-i.765094109.23907316378,Couldn't verify,KRO07,https://s.shopee.ph/9KiHGmoFcC
Korean Official,"Korean Grammar for Speaking, English Version",Not shown,Korean,Beginner-Intermediate,Official,declenkriz.ph,1230,https://shopee.ph/Korean-Grammar-for-Speaking-English-Ver.-i.765094109.22233781778,Couldn't verify,KRO08,https://s.shopee.ph/9V1hT5ncHF
Korean Official,Basic Korean for Conversation: Business and Travel + MP3,Not shown,Korean,Beginner,Official,declenkriz.ph,1340,https://shopee.ph/Basic-Korean-for-Conversation-Useful-Expressions-for-Business-and-Travel-Language-Book-Free-MP3-i.765094109.18126264976,Couldn't verify,KRO09,https://s.shopee.ph/9fL7fOmywI
Korean Official,Korean Language Handwriting Hangul,Not shown,Korean,Beginner,Official,declenkriz.ph,478,https://shopee.ph/Korean-Language-Handwriting-Hangul-i.765094109.18930112380,Couldn't verify,KRO10,https://s.shopee.ph/9peXrhmLbL
Korean Official,My First Writing Practice in Korean,Not shown,Korean,Beginner,Official,declenkriz.ph,1000,https://shopee.ph/Korean-Language-My-First-Writing-Practice-In-Korean-Everyday-Writing-Practice-i.765094109.17283508623,Couldn't verify,KRO11,https://s.shopee.ph/60RpIf0wNc
Korean Official,TOPIK: It's OK in This Single Book,Not shown,Korean,TOPIK; exact level not shown,Official,declenkriz.ph,1425,https://shopee.ph/TOPIK-It's-OK-in-this-single-book(English-Edition-Chinese-Edition)-i.765094109.21031196276,Couldn't verify,KRO12,https://s.shopee.ph/6AlFUy0J2f
Korean Official,TOPIK II Pass Recipe Practical Test / Actual Mock Test,Not shown,Korean,TOPIK II,Official,declenkriz.ph,1952,https://shopee.ph/Korean-Language-Proficiency-Test-TOPIK-2-(Topic-2)-Pass-Recipe-Practical-Test-TOPIK-2-Pass-Recipe-Actual-Mock-Test-i.765094109.20738086401,Couldn't verify,KRO13,https://s.shopee.ph/6L4fhGzfhi
Korean Official,COOL TOPIK: Speaking/Reading/Writing/Listening,Not shown,Korean,TOPIK,Official,declenkriz.ph,1600,https://shopee.ph/COOL-TOPIK-Speaking-Reading-Writing-Listening-Comprehensive-Book-i.765094109.18666019551,Couldn't verify,KRO14,https://s.shopee.ph/6VO5tZz2Ml
Korean Official,Complete TOPIK with One Book by Frequency,Not shown,Korean,Intermediate-Advanced,Official,declenkriz.ph,1375,https://shopee.ph/COMPLETE-TOPIK-WITH-ONE-BOOK-FOR-INTERMEDIATE-to-ADVANCED-by-Frequency-i.765094109.17990465319,Couldn't verify,KRO15,https://s.shopee.ph/5LC8VR3TjY
Korean Official,TOPIK II PICK Reading and Writing Preparation,Not shown,Korean,TOPIK-II,Official,declenkriz.ph,1590,https://shopee.ph/TOPIK-II-PICK-A-TOPIK-II-Preparation-Textbook-with-Section-by-Section-Reading-and-Writing-Exercises-a-Practical-Korean-Language-Study-Guide-for-TOPIK-II-i.765094109.52768313431,Couldn't verify,KRO16,https://s.shopee.ph/5VVYhk2qOb
Korean Official,TOPIK II: Write Along,Not shown,Korean,TOPIK-II,Official,declenkriz.ph,1749,https://shopee.ph/TOPIK-II-Write-Along%E2%80%94An-intensive-study-guide-for-learning-by-writing-along-and-an-exam-preparation-workbook-designed-to-improve-sentence-structure-and-writing-skills-i.765094109.42434713198,Couldn't verify,KRO17,https://s.shopee.ph/5foyu32D3e
Korean Official,Special Preparation Course for TOPIK II: Reading,Not shown,Korean,TOPIK-II,Official,declenkriz.ph,1105,https://shopee.ph/Special-Preparation-Course-for-the-TOPIK-II-(Level-2)-Korean-Language-Proficiency-Test-Reading%E2%80%94A-Test-Prep-Book-Featuring-Question-Types-and-Real-Test-Reading-Practice-i.765094109.48868322204,Couldn't verify,KRO18,https://s.shopee.ph/5q8P6M1Zih
Korean Official,Korean Q&A Sentence Patterns,Not shown,Korean,Intermediate,Official,declenkriz.ph,1100,https://shopee.ph/Korean-Q-A-Sentence-Patterns-Collection-of-Korean-question-patterns-i.765094109.21439710080,Couldn't verify,KRO19,https://s.shopee.ph/7KxCt6vrg0
Korean Official,Korean Handwriting / Korean Penwriting Textbook,Not shown,Korean,Beginner,Official,declenkriz.ph,775,https://shopee.ph/Korean-handwriting-Korean-penwriting-textbook-i.765094109.24020912708,Couldn't verify,KRO20,https://s.shopee.ph/7VGd5PvEL3
Japanese Official,GENKI 3rd Edition,Not shown,Japanese,Beginner,Official,JapanesebookstoPH Online Store,1629,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-GENKI-3rd-Edition-i.29221369.3155455145,Couldn't verify,JPO01,https://s.shopee.ph/7fa3Hiub06
Japanese Official,"Minna no Nihongo Elementary 1, Second Edition",Not shown,Japanese,Beginner,Official,JapanesebookstoPH Online Store,979,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Minna-no-Nihongo-Elementary-1-Second-Edition-i.29221369.1898516059,Couldn't verify,JPO02,https://s.shopee.ph/7ptTU1txf9
Japanese Official,Self Study Kana Workbook,Not shown,Japanese,Beginner,Official,JapanesebookstoPH Online Store,1388,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Self-Study-Kana-Workbook-i.29221369.2603319574,Couldn't verify,JPO03,https://s.shopee.ph/6fhW5syP1w
Japanese Official,JLPT N5 Official Practice Workbook Vol. 1,Not shown,Japanese,JLPT-N5,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N5-Official-Practice-Workbook-Vol-1-i.29221369.875779516,Couldn't verify,JPO04,https://s.shopee.ph/6q0wIBxlgz
Japanese Official,JLPT N5 Official Practice Workbook Vol. 2,Not shown,Japanese,JLPT-N5,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N5-Official-Practice-Workbook-Vol-2-i.29221369.1898687965,Couldn't verify,JPO05,https://s.shopee.ph/70KMUUx8M2
Japanese Official,"Nihongo Sou Matome JLPT N5, Multilingual Version",Not shown,Japanese,JLPT-N5,Official,JapanesebookstoPH Online Store,1702,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Multilingual-Version-Nihongo-Sou-Matome-JLPT-N5-i.29221369.24281576154,Couldn't verify,JPO06,https://s.shopee.ph/7AdmgnwV15
Japanese Official,Shin Kanzen Master JLPT N4 Grammar,Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,1299,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Shin-Kanzen-Master-JLPT-N4-Grammar-i.29221369.977089339,Couldn't verify,JPO07,https://s.shopee.ph/3VkUK4ASSO
Japanese Official,Shin Kanzen Master JLPT N4 Listening,Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,1437,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Shin-Kanzen-Master-JLPT-N4-Listening-i.29221369.2317211494,Couldn't verify,JPO08,https://s.shopee.ph/3LR47lB5nN
Japanese Official,"Nihongo Sou Matome JLPT N4 Kanji/Vocabulary, Multilingual",Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,1426,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Multilingual-Version-Nihongo-Sou-Matome-JLPT-N4-Kanji-Vocabulary-i.29221369.25681571469,Couldn't verify,JPO09,https://s.shopee.ph/3qNKig9BmU
Japanese Official,"Nihongo Sou Matome JLPT N4 Grammar/Reading/Listening, Multilingual",Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,1702,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Multilingual-Version-Nihongo-Sou-Matome-JLPT-N4-Grammar-Reading-Listening-i.29221369.28901545962,Couldn't verify,JPO10,https://s.shopee.ph/3g3uWN9p7T
Japanese Official,JLPT N4 Official Practice Workbook Vol. 1,Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N4-Official-Practice-Workbook-Vol-1-i.29221369.871807053,Couldn't verify,JPO11,https://s.shopee.ph/2qUnWqCzoK
Japanese Official,JLPT N4 Official Practice Workbook Vol. 2,Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N4-Official-Practice-Workbook-Vol-2-i.29221369.1898691200,Couldn't verify,JPO12,https://s.shopee.ph/2gBNKXDd9J
Japanese Official,2000 Essential Vocabulary for JLPT N3,Not shown,Japanese,JLPT-N3,Official,JapanesebookstoPH Online Store,1365,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-2000-Essential-Vocabulary-for-the-JLPT-N3-i.29221369.7449622233,Couldn't verify,JPO13,https://s.shopee.ph/3B7dvSBj8Q
Japanese Official,JLPT N3 Shin Nihongo 500 Mon,Not shown,Japanese,JLPT-N3,Official,JapanesebookstoPH Online Store,1225,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N3-Shin-Nihongo-500-Mon-i.29221369.1961188054,Couldn't verify,JPO14,https://s.shopee.ph/30oDj9CMTP
Japanese Official,Shin Kanzen Master JLPT N3 Listening,Not shown,Japanese,JLPT-N3,Official,JapanesebookstoPH Online Store,1511,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Shin-Kanzen-Master-JLPT-N3-Listening-i.29221369.3943249551,Couldn't verify,JPO15,https://s.shopee.ph/4qFruW5Nkm
Japanese Official,JLPT N3 Official Practice Workbook Vol. 1,Not shown,Japanese,JLPT-N3,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N3-Official-Practice-Workbook-Vol-1-i.29221369.619555498,Couldn't verify,JPO16,https://s.shopee.ph/4fwRiD615l
Japanese Official,2500 Essential Vocabulary for JLPT N2,Not shown,Japanese,JLPT-N2,Official,JapanesebookstoPH Online Store,1549,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-2500-Essential-Vocabulary-for-the-JLPT-N2-i.29221369.2739492794,Couldn't verify,JPO17,https://s.shopee.ph/5AsiJ8474s
Japanese Official,JLPT N2 Shin Nihongo 500 Mon,Not shown,Japanese,JLPT-N2,Official,JapanesebookstoPH Online Store,1225,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N2-Shin-Nihongo-500-Mon-i.29221369.14434461168,Couldn't verify,JPO18,https://s.shopee.ph/50ZI6p4kPr
Japanese Official,Shin Kanzen Master JLPT N2 Vocabulary,Not shown,Japanese,JLPT-N2,Official,JapanesebookstoPH Online Store,1456,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Shin-Kanzen-Master-JLPT-N2-Vocabulary-i.29221369.2545276117,Couldn't verify,JPO19,https://s.shopee.ph/4B0B7I7v6i
Japanese Official,JLPT N1 Shin Nihongo 500 Mon,Not shown,Japanese,JLPT-N1,Official,JapanesebookstoPH Online Store,1225,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N1-Shin-Nihongo-500-Mon-i.29221369.12368241379,Couldn't verify,JPO20,https://s.shopee.ph/40gkuz8YRh
Study Tool,Anki,,,,Free desktop/Android/Web; paid iOS app,,,https://apps.ankiweb.net/,Couldn't verify an official affiliate/referral program,TOOL01,
Study Tool,Quizlet,,,,Freemium,,,https://quizlet.com/,Couldn't verify,TOOL02,
Study Tool,Bunpro,,,,Paid after trial,,,https://bunpro.jp/,Yes — account referral program awards B-Points and subscription tokens; not verified as a cash affiliate program,TOOL03,
Study Tool,Bunpo,,,,Freemium,,,https://bunpo.app/,Yes — Bunpo Creator affiliate program provides unique tracked links,TOOL04,
Study Tool,Renshuu,,,,Freemium,,,https://www.renshuu.org/,Couldn't verify,TOOL05,
Study Tool,Jisho,,,,Free,,,https://jisho.org/,Couldn't verify; no public program found,TOOL06,
Study Tool,Papago,,,,Free,,,https://papago.naver.com/,Couldn't verify; no public program found,TOOL07,
Study Tool,Tae Kim's Guide to Japanese Grammar,,,,Free,,,https://guidetojapanese.org/learn/,Couldn't verify; no public program found,TOOL08,
Study Tool,How to Study Korean,,,,Free lessons; paid companion materials available,,,https://www.howtostudykorean.com/,Couldn't verify,TOOL09,
Study Tool,Japan Association for Refugees — Working in Japan Basic Japanese PDF,,,,Free,,,https://www.refugee.or.jp/for_refugees/postfile/working_in_japan_basic_japanese_201502.pdf,No public affiliate/referral program found,TOOL10,
